id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
25730362,28035243,Jeff & Shana,Kauai,North Shore Kauai,22.22113,-159.46913,Entire home/apt,450,4,90,44,46,19,4.83,3.0,3.0,2.0,Condo
26008803,81931213,Vicki,Kauai,Koloa-Poipu,21.87737,-159.46597,Entire home/apt,1363,180,8,23,93,2,5.0,4.0,4.0,4.0,Home
25749245,115962230,Beatrice,Kauai,North Shore Kauai,22.21805434130599,-159.492516305558,Entire home/apt,825,1,18,1,244,18,4.94,4.0,4.0,2.0,Home
26039421,135711697,Holly,Kauai,North Shore Kauai,22.2098,-159.49538,Entire home/apt,667,5,8,7,194,1,5.0,1.0,1.0,5.0,Home
25784258,72745682,Jane,Kauai,North Shore Kauai,22.20746,-159.49625,Entire home/apt,406,3,8,24,158,1,4.75,1.0,1.0,1.0,Home
26273655,93739166,Kelly,Kauai,North Shore Kauai,22.22893,-159.48365,Entire home/apt,272,2,173,2,202,33,4.86,3.0,3.0,2.0,Condo
25841226,81931213,Vicki,Kauai,Koloa-Poipu,21.87333,-159.45062,Entire home/apt,900,1,14,23,198,3,4.92,3.0,3.0,3.0,Home
25841227,81931213,Vicki,Kauai,Koloa-Poipu,21.87171,-159.44852,Entire home/apt,429,1,3,23,49,1,5.0,2.0,2.0,2.0,Condo
25841229,81931213,Vicki,Kauai,Koloa-Poipu,21.87507,-159.44508,Entire home/apt,343,1,13,23,205,5,4.85,2.0,2.0,2.0,Home
25841232,81931213,Vicki,Kauai,Koloa-Poipu,21.87487,-159.44958,Entire home/apt,341,1,2,23,169,1,New,2.0,2.0,2.0,Condo
26305367,192112944,Joyce,Kauai,North Shore Kauai,22.21802,-159.49373,Entire home/apt,399,3,21,2,214,2,4.76,1.0,1.0,1.0,Condo
26395944,198054749,"Dave, Geri, Jim",Kauai,North Shore Kauai,22.227933,-159.474803,Entire home/apt,353,1,34,6,223,6,4.59,0.0,1.0,0.0,Condo
26395954,198054749,"Dave, Geri, Jim",Kauai,North Shore Kauai,22.227933,-159.474803,Entire home/apt,297,1,84,6,218,16,4.77,0.0,1.0,0.0,Condo
26395966,198054749,"Dave, Geri, Jim",Kauai,North Shore Kauai,22.227933,-159.474803,Entire home/apt,285,2,59,6,275,10,4.64,0.0,1.0,0.0,Condo
26419629,756093,Kaua’i,Kauai,Koloa-Poipu,21.88352,-159.45735,Entire home/apt,438,1,30,71,252,9,4.83,2.0,2.0,5.0,Townhouse
26106419,2184953,Claudia,Kauai,North Shore Kauai,22.22194,-159.47781,Entire home/apt,213,2,124,3,309,26,4.83,1.0,1.0,1.0,Condo
26450502,47208806,Oceanfront Realty International,Kauai,Kapaa-Wailua,22.14641,-159.30537,Entire home/apt,975,5,7,71,291,0,3.86,5.0,5.0,5.0,Home
26612138,107293305,Gather Vacations,Kauai,North Shore Kauai,22.2216,-159.48126,Entire home/apt,367,1,22,313,285,13,4.91,3.0,3.0,5.0,Condo
26391191,198054749,"Dave, Geri, Jim",Kauai,North Shore Kauai,22.227933,-159.474803,Entire home/apt,322,1,38,6,248,9,4.53,1.0,1.0,0.0,Condo
26392032,198054749,"Dave, Geri, Jim",Kauai,North Shore Kauai,22.227933,-159.474803,Entire home/apt,260,1,40,6,288,8,4.65,0.0,1.0,0.0,Condo
26395937,198054749,"Dave, Geri, Jim",Kauai,North Shore Kauai,22.227933,-159.474803,Entire home/apt,248,1,70,6,211,17,4.43,0.0,1.0,0.0,Condo
26529886,28035243,Jeff & Shana,Kauai,North Shore Kauai,22.22891,-159.48369,Entire home/apt,285,4,85,44,267,21,4.93,2.0,2.0,2.0,Condo
26671099,4938232,Pam,Kauai,Koloa-Poipu,21.8758,-159.44429,Entire home/apt,426,4,109,1,155,27,4.89,2.0,2.0,2.0,Home
26679070,756093,Kaua’i,Kauai,Lihue,21.96026,-159.34822,Entire home/apt,652,1,6,71,309,2,4.5,2.0,2.0,2.0,Home
26679122,756093,Kaua’i,Kauai,Lihue,21.96199,-159.34915,Entire home/apt,2568,1,6,71,289,0,4.83,5.0,5.0,5.0,Home
