id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
583302,2874260,Maria,Honolulu,North Shore Oahu,21.66803,-158.04258,Shared room,92,5,58,11,270,11,4.97,2.0,2.0,0.0,Hostel
512183,2232017,Kari,Honolulu,Primary Urban Center,21.28591,-157.81139,Entire home/apt,350,1,33,1,30,0,4.66,2.0,2.0,1.0,Home
256422,1348821,Kurt,Honolulu,North Shore Oahu,21.68122,-158.03032,Entire home/apt,150,30,127,1,273,5,4.83,0.0,1.0,1.0,Guest suite
583315,2874260,Maria,Honolulu,North Shore Oahu,21.66968,-158.04463,Entire home/apt,445,5,9,11,248,4,5.0,1.0,1.0,1.0,Guest suite
263442,1382491,Micah,Honolulu,East Honolulu,21.3096,-157.70817,Entire home/apt,325,30,71,1,248,10,4.96,2.0,2.0,1.0,Bungalow
521895,1671879,Roger,Honolulu,Primary Urban Center,21.28146,-157.82811,Entire home/apt,99,90,132,1,7,9,4.3,0.0,1.0,1.0,Rental unit
609723,2584581,J & R,Honolulu,Koolaupoko,21.3817,-157.73075,Entire home/apt,170,30,177,5,254,2,4.91,3.0,3.0,1.0,Home
626156,3103484,Thomas,Honolulu,Koolaupoko,21.39627,-157.72998,Entire home/apt,230,29,59,2,102,2,4.88,2.0,2.0,1.0,Rental unit
631771,1298922,Greg,Honolulu,Koolaupoko,21.39869,-157.74429,Entire home/apt,450,30,74,1,0,0,4.79,4.0,4.0,2.0,Home
551138,2709332,Mele Naia,Honolulu,Primary Urban Center,21.27459,-157.81327,Entire home/apt,98,30,100,4,113,2,4.41,1.0,1.0,1.0,Rental unit
633314,3152360,Tropical Studios At Marine Surf,Honolulu,Primary Urban Center,21.28015,-157.82753,Entire home/apt,141,1,96,20,313,2,4.79,0.0,2.0,1.0,Condo
808786,4255217,Kristine,Honolulu,Koolaupoko,21.39559,-157.73244,Entire home/apt,333,2,290,2,215,52,4.85,1.0,1.0,1.0,Guesthouse
841416,4394268,Geoffrey,Honolulu,Koolauloa,21.64881,-157.91613,Entire home/apt,240,1,312,9,244,25,4.77,2.0,2.0,1.0,Guest suite
1038689,5256548,Olivier,Honolulu,Primary Urban Center,21.28108,-157.82626,Entire home/apt,129,28,206,6,151,5,4.84,1.0,1.0,1.0,Condo
867486,1866267,Raymond And Azlina,Honolulu,Koolauloa,21.63959,-157.91849,Entire home/apt,864,2,26,10,210,2,4.69,3.0,3.0,1.0,Home
869790,4583552,Thomas,Honolulu,Koolaupoko,21.38373,-157.72205,Private room,111,30,131,3,358,1,4.58,1.0,1.0,0.0,Home
1062698,2778548,Melissa And Scott,Honolulu,North Shore Oahu,21.5544,-158.11363,Entire home/apt,125,30,266,1,0,0,4.78,1.0,1.0,1.0,Tent
1063860,5856233,Rene,Honolulu,Primary Urban Center,21.31963,-157.85702,Private room,120,30,87,5,195,0,4.89,2.0,2.0,0.0,Condo
873736,1255224,Emily,Honolulu,Primary Urban Center,21.281513,-157.82576,Entire home/apt,126,2,44,2,246,6,4.52,1.0,1.0,1.0,Condo
875693,4623954,Janice,Honolulu,Koolaupoko,21.38422,-157.7123,Private room,295,3,33,1,292,17,4.79,1.0,1.0,0.0,Bed and breakfast
669834,2456676,Eriko,Honolulu,Primary Urban Center,21.28632,-157.83147,Entire home/apt,80,31,59,2,268,3,4.34,0.0,1.0,1.0,Condo
671346,1866267,Raymond And Azlina,Honolulu,Koolauloa,21.639516659211623,-157.91869716955114,Entire home/apt,423,30,24,10,260,2,4.88,0.0,3.0,1.0,Home
673187,3414958,Phil,Honolulu,Ewa,21.34534,-158.08374,Entire home/apt,85,31,67,3,361,4,4.23,2.0,2.0,1.0,Guest suite
1084023,5256548,Olivier,Honolulu,Primary Urban Center,21.28106,-157.82622,Entire home/apt,124,28,262,6,101,2,4.8,0.0,2.0,1.0,Condo
673201,3414958,Phil,Honolulu,Ewa,21.3475,-158.08504,Entire home/apt,59,31,31,3,264,2,4.6,1.0,1.0,1.0,Guest suite
673327,1866267,Raymond And Azlina,Honolulu,Koolauloa,21.6405,-157.91917,Private room,496,2,19,10,249,1,4.95,1.0,1.0,0.0,Resort
1089964,3152360,Tropical Studios At Marine Surf,Honolulu,Primary Urban Center,21.28016,-157.82752,Entire home/apt,141,1,93,20,330,4,4.81,0.0,2.0,1.0,Condo
722158,1671698,Brenda,Honolulu,Primary Urban Center,21.2769,-157.82227,Entire home/apt,102,1,220,2,318,15,4.58,1.0,1.0,1.0,Condo
1104128,4150084,Rudy,Honolulu,Ewa,21.33164,-158.12122,Private room,590,7,7,1,0,1,5.0,2.0,2.0,2.0,Resort
769848,2393210,Melissa,Honolulu,Ewa,21.33563,-158.1228,Entire home/apt,629,6,56,3,186,10,4.96,2.0,2.0,2.0,Condo
1129061,6194110,Kelly,Honolulu,Primary Urban Center,21.28548,-157.83952,Entire home/apt,137,3,177,1,107,27,4.86,0.0,1.0,1.0,Rental unit
