id,host_id,host_name,availability_365,price,latitude,longitude,number_of_reviews,review_scores_rating,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,accommodates,bathrooms,bedrooms,beds,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,calculated_host_listings_count
12604042,3211895,Kyungho,269,320.0,20.763,-156.45866,29,4.45,3,1125,4.38,4.1,4.79,4.62,4.97,4.41,0,4,0.0,2.0,3.0,Kihei-Makena,Maui,Entire home/apt,18
12604046,3211895,Kyungho,214,320.0,20.763,-156.45866,36,4.56,5,1125,4.61,4.5,4.61,4.39,4.89,4.47,0,5,0.0,2.0,2.0,Kihei-Makena,Maui,Entire home/apt,18
12604058,3211895,Kyungho,257,270.0,20.763,-156.45866,21,4.65,3,1125,4.85,4.3,4.9,4.75,4.9,4.7,0,3,0.0,1.0,1.0,Kihei-Makena,Maui,Entire home/apt,18
12783081,34009334,Makani,152,239.0,20.957484,-156.685184,10,4.9,2,45,4.7,4.8,5.0,4.9,5.0,4.89,1,4,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,22
12604070,3211895,Kyungho,179,196.0,20.763,-156.45866,23,4.73,180,1125,4.95,4.64,5.0,4.73,4.77,4.64,0,5,0.0,2.0,3.0,Kihei-Makena,Maui,Entire home/apt,18
12783088,34009334,Makani,205,606.0,20.957484,-156.685184,13,4.75,2,45,4.67,4.67,5.0,4.92,4.83,4.67,1,6,0.0,3.0,4.0,Lahaina,Maui,Entire home/apt,22
12783089,34009334,Makani,192,239.0,20.957484,-156.685184,3,4.0,2,45,4.0,4.0,4.33,5.0,5.0,4.0,1,2,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,22
12604076,3211895,Kyungho,252,298.0,20.763,-156.45866,32,4.48,3,1125,4.68,4.19,4.84,4.58,4.9,4.58,0,6,0.0,3.0,4.0,Kihei-Makena,Maui,Entire home/apt,18
12604101,3211895,Kyungho,211,220.0,20.763,-156.45866,30,4.71,3,1125,4.79,4.5,5.0,4.71,4.93,4.64,0,5,0.0,2.0,3.0,Kihei-Makena,Maui,Entire home/apt,18
12783090,34009334,Makani,190,633.0,20.957484,-156.685184,6,4.83,2,45,4.67,5.0,4.83,4.33,5.0,4.67,1,8,0.0,3.0,4.0,Lahaina,Maui,Entire home/apt,22
12604111,3211895,Kyungho,145,270.0,20.76312,-156.45903,78,4.61,3,180,4.69,4.41,4.76,4.53,4.95,4.68,1,5,0.0,2.0,3.0,Kihei-Makena,Maui,Entire home/apt,18
12604115,3211895,Kyungho,265,320.0,20.76308,-156.45898,47,4.47,3,1125,4.64,4.47,4.74,4.51,4.94,4.49,0,4,0.0,2.0,3.0,Kihei-Makena,Maui,Entire home/apt,18
12783091,34009334,Makani,217,501.0,20.957484,-156.685184,4,5.0,2,45,4.75,4.75,5.0,5.0,5.0,4.75,1,8,0.0,3.0,4.0,Lahaina,Maui,Entire home/apt,22
12783094,34009334,Makani,218,501.0,20.957484,-156.685184,25,4.96,2,45,4.96,4.88,5.0,5.0,4.92,4.88,1,6,0.0,3.0,4.0,Lahaina,Maui,Entire home/apt,22
12606306,8598221,Angela & Michael,0,1975.0,20.91449,-156.687958,11,4.7,6,30,4.9,5.0,5.0,5.0,4.8,4.5,0,9,0.0,3.0,6.0,Lahaina,Maui,Entire home/apt,1
12783096,34009334,Makani,117,682.0,20.957484,-156.685184,13,4.69,2,45,4.85,4.38,5.0,4.92,4.92,4.46,1,8,0.0,3.0,4.0,Lahaina,Maui,Entire home/apt,22
12608555,68435038,Thomas,43,240.0,20.97216,-156.67968,64,4.92,3,1125,4.98,4.89,4.98,4.94,4.94,4.84,0,2,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,1
12783097,34009334,Makani,178,239.0,20.957484,-156.685184,12,4.92,2,45,4.75,5.0,5.0,5.0,5.0,4.92,1,4,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,22
12608695,3211895,Kyungho,133,320.0,20.76308,-156.45903,45,4.76,3,1125,4.87,4.69,4.73,4.69,4.91,4.71,0,5,0.0,2.0,3.0,Kihei-Makena,Maui,Entire home/apt,18
12608732,3211895,Kyungho,142,270.0,20.763,-156.45866,28,4.81,180,1125,4.92,4.77,4.88,4.46,5.0,4.73,0,3,0.0,1.0,1.0,Kihei-Makena,Maui,Entire home/apt,18
12783100,34009334,Makani,1,250.0,20.957484,-156.685184,0,0.0,2,45,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,22
12783101,34009334,Makani,142,239.0,20.957484,-156.685184,7,5.0,2,45,5.0,5.0,4.86,4.71,5.0,5.0,1,4,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,22
12783106,34009334,Makani,241,239.0,20.957484,-156.685184,13,4.85,2,45,4.77,4.77,5.0,4.92,5.0,4.69,1,4,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,22
12783108,34009334,Makani,180,239.0,20.957484,-156.685184,4,4.75,2,45,4.75,4.75,4.75,4.75,4.75,4.75,1,4,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,22
12783110,34009334,Makani,235,239.0,20.957484,-156.685184,4,4.75,2,45,5.0,4.5,5.0,5.0,5.0,5.0,1,4,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,22
12783115,34009334,Makani,211,239.0,20.957484,-156.685184,17,4.71,2,45,4.71,4.71,5.0,5.0,4.94,4.65,1,4,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,22
12624595,63752720,Arlene,343,457.0,20.75496,-156.45672,0,0.0,6,40,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,1.0,2.0,Kihei-Makena,Maui,Entire home/apt,1
12784217,3323256,Yvonne & Jerome,207,182.0,20.72565,-156.44646,209,4.95,3,45,4.99,4.95,4.98,4.99,4.96,4.89,1,4,0.0,1.0,2.0,Kihei-Makena,Maui,Entire home/apt,2
12626031,68552807,Bob And Sue,53,275.0,20.95185,-156.6881,125,4.83,2,1125,4.91,4.83,4.91,4.97,4.98,4.8,0,4,0.0,1.0,1.0,Lahaina,Maui,Entire home/apt,2
12793229,69662100,Connie,70,314.0,20.9641,-156.68192,58,4.89,1,1125,4.96,4.88,4.95,4.98,4.91,4.91,0,6,0.0,2.0,3.0,Lahaina,Maui,Entire home/apt,1
12673941,68552807,Bob And Sue,69,196.0,20.95202,-156.68859,177,4.79,2,1125,4.9,4.81,4.97,4.98,4.89,4.74,0,2,0.0,0.0,2.0,Lahaina,Maui,Entire home/apt,2
12683049,68921286,Taura,204,191.0,20.724934,-156.446304,15,5.0,4,30,4.93,4.8,5.0,4.87,4.93,5.0,0,6,0.0,2.0,3.0,Kihei-Makena,Maui,Entire home/apt,1
