id,host_id,host_name,availability_365,price,latitude,longitude,number_of_reviews,review_scores_rating,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,accommodates,bathrooms,bedrooms,beds,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,calculated_host_listings_count
856446544226173674,37839136,Vacasa Hawaii,341,188.0,19.630743392897976,-155.98748936493575,0,0.0,2,1125,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1.0,2.0,North Kona,Hawaii,Entire home/apt,335
858057356937356214,118525703,Ida,79,96.0,19.66724,-155.09206,0,0.0,2,28,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,2.0,2.0,South Hilo,Hawaii,Private room,2
858057905526524812,118525703,Ida,85,72.0,19.66560843308521,-155.0934297858408,0,0.0,2,28,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,1.0,South Hilo,Hawaii,Private room,2
856543563293984236,336576760,Tim,89,349.0,19.58091,-155.96645,0,0.0,2,365,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,2.0,3.0,North Kona,Hawaii,Entire home/apt,110
856654631752939045,503332245,Patio,237,65.0,19.10585,-155.74451,11,4.91,1,60,5.0,5.0,4.91,5.0,4.82,5.0,1,3,0.0,1.0,1.0,Kau,Hawaii,Entire home/apt,1
856704864999356986,141767090,Alex,364,163.0,19.129757092998226,-155.76167823061724,0,0.0,5,365,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,2.0,2.0,Kau,Hawaii,Entire home/apt,1
856714273654717020,158114911,Alison,364,155.0,19.41922666916073,-154.8959842080171,0,0.0,1,365,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,1.0,Puna,Hawaii,Private room,6
856817939808812853,11774827,Alivia,154,114.0,19.498820578447507,-155.92088188467076,5,4.8,2,30,4.8,5.0,5.0,5.0,4.8,4.8,0,2,0.0,0.0,1.0,South Kona,Hawaii,Private room,1
858222358588187569,140555311,Gina,210,157.0,19.59110114898636,-154.9932309370604,7,5.0,2,365,5.0,4.86,5.0,5.0,5.0,5.0,0,6,0.0,3.0,3.0,Puna,Hawaii,Entire home/apt,1
856819513073980512,505446767,Jade,168,70.0,19.72475255397982,-155.0890640372376,2,5.0,1,14,5.0,4.0,5.0,5.0,5.0,4.5,0,2,0.0,0.0,1.0,South Hilo,Hawaii,Private room,2
858611205504135134,223539956,Ydine,0,295.0,19.72191370415276,-155.08845206347166,0,0.0,4,365,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0.0,2.0,2.0,South Hilo,Hawaii,Entire home/apt,1
857214537071885707,481143696,Koala,21,444.0,19.924425573833187,-155.88302543054874,0,0.0,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,2.0,4.0,South Kohala,Hawaii,Entire home/apt,3
857272409001615361,119488321,Regan,365,499.0,19.568751895726628,-155.9643284431645,0,0.0,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,1.0,2.0,North Kona,Hawaii,Entire home/apt,1
857287297737029495,507509003,Jason,0,130.0,19.72839,-155.08806,0,0.0,1,28,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1.0,2.0,South Hilo,Hawaii,Private room,3
858698825910851748,24132769,Jacob,14,246.0,19.555282161210997,-155.96119423106543,1,5.0,2,365,5.0,5.0,5.0,5.0,5.0,5.0,0,6,0.0,2.0,3.0,North Kona,Hawaii,Entire home/apt,7
858767929443276366,24132769,Jacob,22,204.0,19.556631940569197,-155.9631321858115,2,4.0,2,365,5.0,5.0,5.0,3.5,4.5,5.0,0,4,0.0,1.0,2.0,North Kona,Hawaii,Entire home/apt,7
858775865831826793,24132769,Jacob,16,169.0,19.92772111933119,-155.79576176811156,1,4.0,2,365,4.0,5.0,4.0,3.0,5.0,5.0,0,6,0.0,2.0,3.0,South Kohala,Hawaii,Entire home/apt,7
858863346927708222,7533168,Mira,112,148.0,20.23150331491225,-155.8015418207634,3,5.0,2,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,2,0.0,0.0,1.0,North Kohala,Hawaii,Entire home/apt,2
859602856231429270,502240575,Genevieve,139,248.0,19.5898826,-154.9831739,1,4.0,1,14,3.0,3.0,5.0,5.0,5.0,5.0,1,8,0.0,3.0,4.0,Puna,Hawaii,Entire home/apt,1
858941290488486025,468025704,Carmen,169,180.0,19.65978080305792,-155.94313649826697,0,0.0,2,365,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,1.0,1.0,North Kona,Hawaii,Entire home/apt,2
858946630531578917,224324527,Valentina,365,108.0,19.583725910568123,-155.00835490564097,0,0.0,1,30,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,1.0,1.0,Puna,Hawaii,Private room,3
858975134872158074,468025704,Carmen,152,144.0,19.659778060952757,-155.9412629563094,0,0.0,2,365,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,1.0,1.0,North Kona,Hawaii,Entire home/apt,2
859207985660633973,37839136,Vacasa Hawaii,355,201.0,19.61507,-155.98163,0,0.0,2,1125,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1.0,1.0,North Kona,Hawaii,Entire home/apt,335
862341171149936645,465769746,Elsie,356,90.0,19.53747,-154.98677,1,5.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,0,3,0.0,0.0,1.0,Puna,Hawaii,Private room,3
859812689667475477,22249639,Nadia,303,89.0,19.59588790072542,-154.95741109502006,0,0.0,1,365,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1.0,1.0,Puna,Hawaii,Entire home/apt,3
862355361399938437,415709856,Rivah,325,135.0,19.450199499290544,-155.87423868477345,0,0.0,1,365,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,1.0,2.0,South Kona,Hawaii,Entire home/apt,2
859833149444896220,22249639,Nadia,331,68.0,19.59656922130173,-154.95760440655496,0,0.0,1,365,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1.0,1.0,Puna,Hawaii,Entire home/apt,3
859868143154907883,22249639,Nadia,322,51.0,19.59804571630612,-154.95597100402745,0,0.0,1,365,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,0.0,1.0,Puna,Hawaii,Entire home/apt,3
859874119600858833,484343184,Tehani,341,82.0,19.595880454368366,-154.95544643743037,1,5.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,1,3,0.0,1.0,2.0,Puna,Hawaii,Entire home/apt,1
860073229652252247,31777145,Jasmine,0,99.0,19.517211698941036,-155.91827811158095,4,5.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,0,2,0.0,0.0,1.0,South Kona,Hawaii,Private room,2
862525821185516996,92649198,Allyson Micheals,207,403.0,19.93045342472052,-155.8749962070037,0,0.0,6,14,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,3.0,4.0,South Kohala,Hawaii,Entire home/apt,20
862528815370919350,469393239,Sundara,327,196.0,19.709434,-155.944661,1,5.0,3,21,5.0,5.0,5.0,5.0,5.0,5.0,1,2,0.0,0.0,1.0,North Kona,Hawaii,Entire home/apt,1
860826599393313069,50482854,Marisa,276,294.0,19.914733201888584,-155.88288594014213,0,0.0,1,365,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,2.0,4.0,South Kohala,Hawaii,Entire home/apt,26
863180304747522656,397011410,Shae,70,163.0,19.7174514,-155.0765416,0,0.0,2,10,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1.0,1.0,South Hilo,Hawaii,Entire home/apt,1
863757100230396617,396784850,Grand Welcome,305,129.0,19.615956648976915,-155.9822328212894,0,0.0,7,365,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1.0,2.0,North Kona,Hawaii,Entire home/apt,40
863798906852465432,502440580,Cody,0,89.0,19.460549272213875,-155.1368579577513,0,0.0,7,21,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,1.0,2.0,Puna,Hawaii,Entire home/apt,1
863813571539544249,147683024,AA Oceanfront,353,158.0,19.61834284356627,-155.98326915245832,0,0.0,30,365,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,2.0,2.0,North Kona,Hawaii,Entire home/apt,86
863833749832867097,456376911,Melanie,348,50.0,19.512959667602388,-154.9068413184253,3,5.0,1,28,5.0,5.0,5.0,5.0,5.0,5.0,0,4,0.0,0.0,2.0,Puna,Hawaii,Private room,3
863839246654003451,100322549,Teri,36,850.0,19.619653413315238,-155.9853582456708,0,0.0,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,2.0,3.0,North Kona,Hawaii,Entire home/apt,3
861174340017627010,2621279,James,90,40.0,19.520355243168275,-154.84931239483063,2,5.0,1,1125,4.0,4.5,4.5,5.0,4.5,4.0,1,3,0.0,1.0,2.0,Puna,Hawaii,Entire home/apt,3
863869061928080781,245410,Lorretta,337,500.0,19.50654293432818,-155.07355848855772,0,0.0,3,365,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,5.0,7.0,Puna,Hawaii,Entire home/apt,2
863875823848151034,285470653,Lanui Realty Inc.,175,211.0,19.91911761178038,-155.88239435191966,2,5.0,3,180,5.0,4.5,5.0,5.0,5.0,4.5,1,4,0.0,2.0,3.0,South Kohala,Hawaii,Entire home/apt,21
863875825332047120,285470653,Lanui Realty Inc.,186,219.0,19.91720581536063,-155.88240991961632,0,0.0,3,365,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,2.0,3.0,South Kohala,Hawaii,Entire home/apt,21
861512667635737271,37839136,Vacasa Hawaii,361,350.0,19.61393959922669,-154.94896588072797,0,0.0,3,1125,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,2.0,3.0,Puna,Hawaii,Entire home/apt,335
861520489517025502,396784850,Grand Welcome,320,174.0,19.616330612842383,-155.983634227829,3,5.0,5,365,4.67,5.0,4.33,4.67,4.67,4.33,1,3,0.0,1.0,2.0,North Kona,Hawaii,Entire home/apt,40
861672796869652634,507509003,Jason,0,101.0,19.72852,-155.08804,1,5.0,1,28,5.0,5.0,5.0,5.0,5.0,5.0,1,2,0.0,1.0,1.0,South Hilo,Hawaii,Private room,3
861682344040598163,507509003,Jason,0,111.0,19.7294373,-155.0891645,5,5.0,1,28,5.0,5.0,5.0,5.0,4.8,5.0,1,2,0.0,1.0,1.0,South Hilo,Hawaii,Private room,3
864335358699808493,49441399,Knutson & Associates,141,100.0,19.616426,-155.98302,0,0.0,1,365,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1.0,2.0,North Kona,Hawaii,Entire home/apt,127
864336213488959814,49441399,Knutson & Associates,277,100.0,19.94024,-155.86462,0,0.0,1,365,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,2.0,2.0,South Kohala,Hawaii,Entire home/apt,127
864337267526017297,49441399,Knutson & Associates,199,100.0,19.616148,-155.98402,0,0.0,1,365,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1.0,2.0,North Kona,Hawaii,Entire home/apt,127
