id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
805841570863476899,22635145,CB Island Vacations,Hawaii,North Kona,19.6262334,-155.987226,Entire home/apt,186,4,4,346,302,4,5.0,2.0,2.0,2.0,Condo
805850514957467157,450044933,Grand Welcome,Hawaii,North Kona,19.57932161209818,-155.9643984994277,Entire home/apt,159,5,0,67,291,0,New,1.0,1.0,2.0,Place to stay
805851616891950362,450044933,Grand Welcome,Hawaii,North Kona,19.579789071074583,-155.96651909404147,Entire home/apt,150,5,0,67,291,0,New,2.0,2.0,2.0,Place to stay
805865339581163871,35970508,Kona Vacation,Hawaii,North Kona,19.635739382961127,-155.9894357840834,Entire home/apt,145,1,1,18,330,1,New,1.0,1.0,1.0,Condo
807171307960278759,371942068,Joy,Hawaii,North Kona,19.618883693440328,-155.9861928861259,Private room,229,5,0,87,0,0,New,2.0,2.0,2.0,Hotel
805932941183457869,379632436,Payton,Hawaii,South Hilo,19.72275865593176,-155.08734470682546,Entire home/apt,127,2,13,1,347,13,4.62,1.0,1.0,1.0,Rental unit
806448803204472515,20286719,Leilani Properties,Hawaii,Hamakua,20.044246109717506,-155.5975124768303,Entire home/apt,100,30,1,6,282,1,New,1.0,1.0,1.0,Rental unit
805948416575095404,495957354,Paula U,Hawaii,North Kona,19.66744190668155,-155.98658713551706,Entire home/apt,153,3,13,2,87,13,5.0,1.0,1.0,1.0,Guesthouse
807847621067018296,37839136,Vacasa Hawaii,Hawaii,South Kohala,19.921193231033836,-155.88562250817856,Entire home/apt,246,6,1,335,365,1,New,2.0,2.0,2.0,Condo
807847679218253411,37839136,Vacasa Hawaii,Hawaii,North Kona,19.627141854109496,-155.98592865209716,Entire home/apt,250,31,0,335,334,0,New,3.0,3.0,3.0,Condo
807271536298119837,70988782,Danielle,Hawaii,South Kohala,20.023413798488026,-155.77180695368378,Entire home/apt,150,3,7,2,186,7,5.0,2.0,2.0,1.0,Home
807275880038433520,18132046,Mia,Hawaii,Puna,19.554877778572283,-155.1051986072673,Entire home/apt,90,2,1,1,0,1,New,1.0,1.0,1.0,Guest suite
808024984190169028,368354573,Dan,Hawaii,Puna,19.41471956501849,-154.95521527442668,Shared room,54,1,1,6,359,1,New,1.0,1.0,0.0,Hostel
807282351013560048,11678214,Rain,Hawaii,Puna,19.4615126,-155.136628,Entire home/apt,45,2,0,1,87,0,New,1.0,1.0,5.0,T
